Pollutant,Mean,Median,Max,Min,StdDev
PM2.5,37.832967032967034,33.0,182.0,2.0,22.344287697735524
PM10,52.06941431670282,45.0,493.0,7.0,31.279656492813395
NO2,19.964360587002098,17.0,146.0,0.0,16.058087449692533
SO2,12.725877192982455,9.0,131.0,0.0,13.329199101198496
CO,31.732394366197184,27.0,110.0,2.0,19.98292660616526
OZONE,23.449064449064448,20.0,129.0,0.0,16.26095797704595
NH3,4.450116009280743,4.0,17.0,0.0,3.180126330019397
